Author's description,Publication date,Author,geology,plants,Latitude,Longitude,Latitude,Longitude,Location (State),"Institution (University of New South Wales, University of Wollongong)",Age estimate,STDEV,RADIOCARBON LAB.,,TYPE OF ANALYSIS,MATERIAL ANALYSED,MATERIAL ANALYSED,DELTA13 CORRECTION (if known),PHYSICAL PRETREATMENT,CHEMICAL PRETREATMENT,POSITION,Builder,
GAP RANGE E (GHE) LOWER RIGHT,1997,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-6360,100,BETA-89613,,Conventional,GRASS,GRASS,,,,B,,
GH6 (base),1997,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-2960,100,BETA-97075,,Conventional,AMBERAT RESIDUE,AMBERAT,,,,B,,
SAJQ77,1996,McCarthy et al,,1,30 20',139 20',139.333333,-30.333333,"Griselda Hill, NE face (SA)",UoW,-1920,110,ANU7753,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-24,,,A,,
SAJQ79,1996,McCarthy et al,,1,30 20',139 20',139.333333,-30.333333,"Griselda Hill, NE face (SA)",UoW,-8820,150,ANU7754,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-24,,,A,,
SAJQ85R(base),1996,McCarthy et al,,1,"30 58'00"""," 139 20'00""",139.333333,-30.966667,Mount Chambers (SA),UoW,-10870,80,ANU8109,,Conventional,PLANT FRAGMENTS & SCAT,PLANT FRAGMENTS,-20,,,M,,
SAJQ85L,1996,McCarthy et al,,1,"30 58'00"""," 139 20'00""",139.333333,-30.966667,Mount Chambers (SA),UoW,-9420,80,ANU8110,,Conventional,PLANT FRAGMENTS & SCAT,PLANT FRAGMENTS,-20,,,N,,
SAJQ78,1996,McCarthy et al,,1,30 20',139 20',139.333333,-30.333333,"Griselda Hill, NE face (SA)",UoW,-6380,70,ANU8136,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-12,,,A,,
SAJQ85R(base),1996,McCarthy et al,,1,"30 58'00"""," 139 20'00""",139.333333,-30.966667,Mount Chambers (SA),UoW,-9060,70,ANU8137,,Conventional,AMBERAT,AMBERAT,-27,,,B,,
SAJQ89,1996,McCarthy et al,,1,"30 58'00"""," 139 20'00""",139.333333,-30.966667,Chambers Gorge (SA),UoW,-5340,70,ANU8139,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-25,,,A,,
SAJQ91,1996,McCarthy et al,,1,30 20',139 20',139.333333,-30.333333,,UoW,-1300,80,ANU8140,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-27,,,A,,
SAJQ76,1996,McCarthy et al,,1,30 20',139 20',139.333333,-30.333333,"Griselda Hill, SW face (SA)",UoW,-1000,70,BETA-62204,,?,PLANT FRAGMENTS,PLANT FRAGMENTS,-25,,,A,,
SAJQ92,1996,McCarthy et al,,1,30 20',139 20',139.333333,-30.333333,,UoW,-630,100,BETA-62205,,?,PLANT FRAGMENTS,PLANT FRAGMENTS,-25,,,A,,
QUADE et al 1991,1991,Quade et al,,1,,,,,,UoW,-10870,80,BETA-67214 ,,?,"GRASS, ","GRASS, ",-25,,,M,,
SAJQ85L,,,,1,"30 58'00"""," 139 20'00""",139.333333,-30.966667,Mount Chambers (SA),UoW,-10630,100,ANU8138,,Conventional,AMBERAT,AMBERAT,-24,,,B,,
BR1 (top),,,,1,31 21'00'',138 33'00''   ,138.55,-31.35,Brachina Gorge (SA),UoW,-7400,90,BETA-8108,,AMS,SCAT,SCAT,,,,T,,
BR1 (base),,,,1,31 21'00'',138 33'00''   ,138.55,-31.35,Brachina Gorge (SA),UoW,-7310,90,BETA-81090,,AMS,SCAT,SCAT,,,,B,,
BR4 (10cm),,,,1,31 21'00'',138 33'00''   ,138.55,-31.35,Brachina Gorge (SA),UoW,-6930,80,BETA-81091,,AMS,SCAT,SCAT,,,,,,
BR4 (60cm),,,,1,31 21'00'',138 33'00''   ,138.55,-31.35,Brachina Gorge (SA),UoW,-7720,90,BETA-81092,,AMS,SCAT,SCAT,,,,,,
BR4 (20cm),,,,1,31 21'00'',138 33'00''   ,138.55,-31.35,Brachina Gorge (SA),UoW,-6520,50,BETA-87299,,AMS,LEAF,LEAF,,,,,,
BR4 (30cm),,,,1,31 21'00'',138 33'00''   ,138.55,-31.35,Brachina Gorge (SA),UoW,-6580,60,BETA-87300,,AMS,LEAF,LEAF,,,,,,
BR4 (40cm),,,,1,31 21'00'',138 33'00''   ,138.55,-31.35,Brachina Gorge (SA),UoW,-6880,50,BETA-87301,,AMS,LEAF,LEAF,,,,,,
BR4 (50cm),,,,1,31 21'00'',138 33'00''   ,138.55,-31.35,Brachina Gorge (SA),UoW,-6920,50,BETA-87302,,AMS,LEAF,LEAF,,,,,,
BRACHINA 1 GORGE,,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-2430,70,OZA308U,1,AMS,PLANT FRAGMENTS,PLANT FRAGMENTS,-23.6,,,,,
BRACHINA 2,,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-2950,200,OZA309,1,AMS,,?,-25,,,,,
SAJQ/79ii,,,,1,30 20',139 20',139.333333,-30.333333,"Griselda Hill, NE face (SA)",UoW,-6472,163,OZA31?,1,AMS,LEAF,LEAF,-27,,,A,,
EYRIE 2,,,,1,,,,,,UoW,-1600,50,OZA310U,1,AMS,,>,-25,,,,,
EYRIE CAVE 2,,,,1,,,,,,UoW,-961,145,OZA311,1,AMS,PLANT FRAGMENTS,PLANT FRAGMENTS,-24.6,,,,,
SAJQ/79i,,,,1,30 20',139 20',139.333333,-30.333333,"Griselda Hill, NE face (SA)",UoW,-5540,110,OZA315,1,AMS,LEAF,LEAF,-27,,,A,,
SAJQ/79ii,,,,1,30 20',139 20',139.333333,-30.333333,"Griselda Hill, NE face (SA)",UoW,-7200,220,OZA316U,1,AMS,SCAT,SCAT,-25,,,N,,
SAJQ/85Li,,,,1,30 20',139 20',139.333333,-30.333333,Mount Chambers (SA),UoW,-10550,460,OZA317,1,AMS,PLANT FRAGMENTS,PLANT FRAGMENTS,-24,,,N,,
SAJQ85R,,,,1,"30 58'00"""," 139 20'00""",139.333333,-30.966667,Mount Chambers (SA),UoW,-10900,90,OZA318,1,AMS,SCATS,SCATS,-25,,,,,
SAJQ/85Lii,,,,1,30 20',139 20',139.333333,-30.333333,Mount Chambers (SA),UoW,-11950,320,OZA318U,1,AMS,SCATS,SCATS,-25,,,N,,deleted by Lawson
SAJQ/85Rii,,,,1,30 20',139 20',139.333333,-30.333333,Mount Chambers (SA),UoW,-9473,319,OZA319,1,AMS,GRASS,GRASS,-25,,,N,,
BR1 (base),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-6710,80,OZB291,1,AMS,LEAF,LEAF,,,,B,,
BR1 (top),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-6800,70,OZB292,1,AMS,LEAF,LEAF,,,,T,,
BR3 (base),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-3640,70,OZB293,1,AMS,SCAT,SCAT,,,,B,,
BR4 (10cm),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-5690,70,OZB294,1,AMS,SCAT,SCAT,,,,,,
BR4 (10cm),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-6290,190,OZB295,1,AMS,LEAF,LEAF,,,,,,
BR4 (60cm),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-6610,90,OZB296,1,AMS,SCAT,SCAT,,,,,,
BR4 (60cm),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-6650,80,OZB297,1,AMS,LEAF,LEAF,,,,,,
BR3 (base),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-3690,180,OZB298,1,AMS,LEAF,LEAF,,,,B,,
BR3 (top),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-3570,120,OZB299,1,AMS,LEAF,LEAF,,,,T,,
BR3 (top),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-3790,90,OZB300,1,AMS,SCAT,SCAT,,,,T,,
HH1 top,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-590,45,OZC040,1,AMS,SCAT,SCAT,,,,T,,
HH1 base,,,,1,29 04'00'',141 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-770,70,OZC041,1,AMS,SCAT,SCAT,-27.2,,,B,,
RC3 top,,,,1,31 04'00'',143 34'00'',142.6,-31.166667,Arkaroola-Mt Painter (SA),UoW,-420,50,OZC042,1,AMS,LEAF,LEAF,-27.4,,,T,,
RC3 base,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-450,60,OZC043,1,AMS,LEAF,LEAF,-26.3,,,B,,
ARK1,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-620,55,OZC044,1,AMS,LEAF,LEAF,-27.5,,,,,
ARK1,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-470,65,OZC045,1,AMS,SCAT,SCAT,-24.1,,,,,
RC 1,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-4350,60,OZC046,1,AMS,SCAT,SCAT,-24.2,,,,,
BR7 (base),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-5790,80,OZC047,1,AMS,SCAT,SCAT,-26.5,,,B,,
NWCK 1,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-560,60,OZC048,1,AMS,SCAT,SCAT,-19.4,,,,,
BR2 (middle),,,,1,31 21'00'',138 33'00'',138.55,-31.35,Brachina Gorge (SA),UoW,-5020,70,OZC049,1,AMS,SCAT,SCAT,-27.8,,,A,,
MC2 (top),,,,1,30 58'00'',139 16'00'',139.333333,-30.966667,Mount Chambers Gorge (SA),UoW,-385,140,OZC614,1,AMS,LEAF,LEAF,,,,T,,
MD3,,,,1,30 58'00'',139 16'00'',139.333333,-30.966667,Mount Chambers Gorge (SA),UoW,-7260,100,OZC615U2,1,AMS,SCAT,SCAT,,,,,,
OT1,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-880,75,OZC616,1,AMS,LEAF,LEAF,,,,,,
NWCK 2,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-3670,70,OZC617U2,1,AMS,SCAT,SCAT,,,,,,
RC 2,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-2430,80,OZC618,1,AMS,SCAT,SCAT,,,,,,
CG1,,,,1,30 58'00'',139 16'00'',139.333333,-30.966667,Mount Chambers Gorge (SA),UoW,-470,130,OZC619,1,AMS,SCAT,SCAT,,,,,,
MC1 (centre),,,,1,30 58'00'',139 16'00'',139.333333,-30.966667,Mount Chambers Gorge (SA),UoW,-1280,70,OZC620,1,AMS,SCAT,SCAT,,,,,,
OT1,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,-880,150,OZC621U1,1,AMS,SCAT,SCAT,,,,,,
MC2 (top),,,,1,30 58'00'',139 16'00'',139.333333,-30.966667,Mount Chambers Gorge (SA),UoW,-230,105,OZC622U1,1,AMS,SCAT,SCAT,,,,T,,
MC2 (overhang),,,,1,30 58'00'',139 16'00'',139.333333,-30.966667,Mount Chambers Gorge (SA),UoW,-590,50,OZC623,1,AMS,LEAF,LEAF,,,,,,
WF,,,,1,30 04'00'',142 34'00'',142.566667,-30.066667,Arkaroola-Mt Painter (SA),UoW,0,,OZC624,1,AMS,SEEDS,SEEDS,,,,,,
MC1 (exposed base),,,,1,30 58'00'',139 16'00'',139.333333,-30.966667,Mount Chambers Gorge (SA),UoW,-410,65,OZC625,1,AMS,SCAT,SCAT,,,,B,,
SAJQ/85Rii,,,,1,30 20',139 20',139.333333,-30.333333,Mount Chambers (SA),UoW,-10850,460,,,?,?,?,,,,,,
HEAD 1993,,,,9,,,,,"Lava Caves western VIC, ",UoW,-400,,,,?,,?,,,,N,,
Green et al (1983),1983,Green et al,sandstone,8,31 10',142 36',142.6,-31.166667,,,-1840,100,ANU2385,,Conventional,CHARCOAL,CHARCOAL,,,,A,,
