Author's description,Publication date,Author,geology,plants,Latitude,Longitude,Latitude,Longitude,Location (State),"Institution (University of New South Wales, University of Wollongong)",Age estimate,STDEV,RADIOCARBON LAB.,,TYPE OF ANALYSIS,MATERIAL ANALYSED,MATERIAL ANALYSED,DELTA13 CORRECTION (if known),PHYSICAL PRETREATMENT,CHEMICAL PRETREATMENT,POSITION,Builder,
CHD18,1997,Pearson,,5,"27 53' 08""","134 19'02""",134.317222,-27.885556,Copper Hills (SA),UNSW,-940,60,OZA184,1,AMS,ACACIA PHYLLODE,LEAF,-27,No physical pretreatment,"AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",B,,
QVA312,1997,Pearson,,af,"30 19'44""","123 16'02""",123.267222,-30.328889,Queen Victoria Springs (WA),UNSW,-530,70,OZA185,1,AMS,SCAT,SCAT,-25.8,,not listed,B,,
USA16,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-2280,120,OZA186U,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",B,,
USA22,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-2330,120,OZA187,1,AMS,ACACIA PHYLLODE,LEAF,-27,No physical pretreatment,"AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",B,,
USB10,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-3310,80,OZA188U1,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",A,,
USB10,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-3350,80,OZA188U2,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",A,,
USB11,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-3450,70,OZA189,1,AMS,AMBERAT,AMBERAT,-23.8,,,A,,
USB13,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-3330,190,OZA190,1,AMS,ACACIA PHYLLODE,LEAF,-24.4,No physical pretreatment,"AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",A,,
USC31,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,101.55pMC+ 0.4%,0,OZA191,1,AMS,SKIN,SKIN,-21.8,No physical treatment,"2M HCl at 60oC for 1 hour, then at room te,perature for 15 hours, washed in deionised water",T,,
USC39,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-410,165,OZA192,1,AMS,ACACIA PHYLLODE,LEAF,-27,No physical pretreatment,"AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",T,,
QVB37,1997,Pearson,,af,"30 19'44""","123 16'02""",123.267222,-30.328889,Queen Victoria Springs (WA),UNSW,-410,40,OZA314,1,AMS,SCAT,SCAT,-25,,not listed,A,,
USF06,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-310,40,OZA961U,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",A,,
USN138,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-1150,50,OZA962,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",M,,
USN104,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-2380,40,OZA963,1,AMS,ACACIA PHYLLODE,LEAF,-25,No physical pretreatment,"AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",B,,
USM40,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-1310,60,OZA964U,1,AMS,BARK,BARK,-25,"Soil & dust removed, sample milled and sieved, fragments larger than 0.5mm retained for dating","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",T,,
USN160,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-360,50,OZA965U,1,AMS,PLANT FRAGMENTS,PLANT FRAGMENTS,-25,"Soil & dust removed, sample milled and sieved, fragments larger than 0.5mm retained for dating","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",T,,
USK14,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-510,50,OZA966U,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",T,,
USJ7,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-1140,40,OZA967,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",T,,
QVB37,1997,Pearson,,af,"30 19'44""","123 16'02""",123.267222,-30.328889,Queen Victoria Springs (WA),UNSW,-340,40,OZA968,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",B,,
USI76,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-1720,60,OZA969U,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",A,,
USG22,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-300,50,OZA970,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",A,,
USA131,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-200,55,OZA972,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",T,,
