Species,Identifier,Longitude,Latitude,Site
Leporillus apicalis,Baynes (2007),113.9128,-25.9836,Nanga 1 (Shark Bay)
Leporillus apicalis,Baynes et al. (2019),114.0958,-21.9969,"Quarry Cave, Cape Range"
Leporillus apicalis,"Bowdler (1995), Baynes (2000a)",113.667,-25.783,"Monkey Mia, Peron Peninsula (Shark Bay)"
Leporillus apicalis,D MATTHEWS,131.03,-25.35,
Leporillus apicalis,D MATTHEWS,131.03,-25.35,
Leporillus apicalis,Dennis Matthews,131.03,-25.35,
Leporillus apicalis,Dennis Matthews,131.03,-25.35,
Leporillus apicalis,DF GIBSON,135.75,-24.56,
Leporillus apicalis,DF GIBSON,137.16,-23.85,
Leporillus apicalis,DF GIBSON,137.18,-23.83,
Leporillus apicalis,DG LANGFORD,131.31,-23.83,
Leporillus apicalis,DG LANGFORD,130.83,-23.8,
Leporillus apicalis,GJ FYFE,133.97,-23.74,
Leporillus apicalis,GJ FYFE,133.89,-23.64,
Leporillus apicalis,Jeff Cole,137.25,-22,
Leporillus apicalis,Jeff Cole,137.25,-22,
Leporillus apicalis,Jeff Cole,137.32,-22,
Leporillus apicalis,K LEHMANN,133.41,-24.03,
Leporillus apicalis,KA JOHNSON,134.8,-23.7,
Leporillus apicalis,KA JOHNSON,135.01,-23.56,
Leporillus apicalis,LOW STRONG,135.08,-22.78,
Leporillus apicalis,LOW STRONG,134.88,-22.35,
Leporillus apicalis,MJ FREEMAN,133.9,-25.98,
Leporillus apicalis,MJ FREEMAN,133.86,-25.96,
Leporillus apicalis,Monks (2018),115.133,-29.817,"Yellabidde Cave, northern Swan Coastal Plain"
Leporillus apicalis,Turpin et al. (in prep.),124.592288,-29.555665,40. Duck Egg cave 1
Leporillus apicalis,Turpin et al. (in prep.),124.740483,-29.333475,42. Sydney Simpson Cliffs 1
Leporillus apicalis,Turpin et al. (in prep.),124.578989,-29.331603,41. South Rock cave 1
Leporillus apicalis,Turpin et al. (in prep.),124.52208,-29.218396,36. Big Nest cave
Leporillus apicalis,Turpin et al. (in prep.),124.481407,-29.178021,33. Possum Cave 3
Leporillus apicalis,Turpin et al. (in prep.),124.479105,-29.176756,35a. Possum Cave 5.1
Leporillus apicalis,Turpin et al. (in prep.),124.639333,-29.131335,29b. Bartlett South 4
Leporillus apicalis,Turpin et al. (in prep.),124.602681,-29.090078,21. Bartlett Bluff 1
Leporillus apicalis,Turpin et al. (in prep.),124.602512,-29.087849,22. Bartlett Bluff 2
Leporillus apicalis,Turpin et al. (in prep.),124.619761,-29.087664,23. Bartlett Bluff 3
Leporillus apicalis,Turpin et al. (in prep.),122.706531,-28.280593,1. Giles Breakaway 1
Leporillus apicalis,Turpin et al. (in prep.),126.155233,-27.621919,77. Point Sandercock 2
Leporillus apicalis,Turpin et al. (in prep.),126.44278,-27.235,73. Ryans Bluff 2
Leporillus apicalis,Turpin et al. (in prep.),126.468055,-27.215277,61. Breakaways S of Point Wood
Leporillus apicalis,Turpin et al. (in prep.),126.374272,-27.060558,58. Faulkner Hill 1.1
Leporillus apicalis,Turpin et al. (in prep.),126.362217,-27.06015,59. Faulkner Hill 2
Leporillus apicalis,Turpin et al. (in prep.),124.468431,-26.904491,45. Breaden Bluff 1
Leporillus apicalis,Turpin et al. (in prep.),125.654977,-26.834645,50. Manunda Breakaway 1
Leporillus apicalis,Turpin et al. (in prep.),124.36652,-26.76583,44. Empress Spring 1
Leporillus apicalis,Turpin et al. (in prep.),126.451388,-26.695833,54. Manton Knob breakaways
Leporillus apicalis,Turpin et al. (in prep.),126.454166,-26.693055,55. Manton Knob breakaways
Leporillus apicalis,Turpin et al. (in prep.),125.855984,-26.598354,53a. Breakaway NW of Gahnda
Leporillus apicalis,Turpin et al. (in prep.),125.8625,-26.595833,52. Breakaway NW of Gahnda
Leporillus apicalis,,119.7053,-30.3606,Bungalbin Range
Leporillus apicalis,,121.6314,-29.5133,Dead tree 14.3 km WSW Yerilla homestead
Leporillus apicalis,,119.3719,-29.3761,"Hole in cliff, Diemals Station"
Leporillus apicalis,,126.432,-27.159,Breakaways east of Hanns Tabletop Hill
Leporillus apicalis,,126.029,-26.515,Cave near Winduldurra Rockhole
Leporillus apicalis,,121.054,-26.413,"Herberts Rockhole breakaways, Millrose Station"
Leporillus apicalis,,118.35,-26.333,Breakaway beside Mt Padbury-Meekatharra road
Leporillus apicalis,,124.429,-25.426,Mount Johnson south
Leporillus apicalis,,117.765,-25.071,"Cave in Sawback Range, Gascoyne"
Leporillus apicalis,,124.976,-25.043,Young Range
Leporillus apicalis,,119.6,-24.033,"Breakaways by track to hstd, Bulloo Downs Stn"
Leporillus apicalis,,117.617,-23.55,Small breakaway SE of Mt Elephant
Leporillus apicalis,,120.3017,28.1261,"White Cloud Cliffs, Pinnacles Station"
,,,,
