"_vname_","_label_","_x_","_yhat_","_ids_","variable"
"bio12","data.frame",180.74333190918,0.397731623080447,0,"bio12"
"bio12","data.frame",183.864801635742,0.397546794699835,0,"bio12"
"bio12","data.frame",189.670315170288,0.520127270227651,0,"bio12"
"bio12","data.frame",193.484364013672,0.528145377701105,0,"bio12"
"bio12","data.frame",197.652639083862,0.545227349610906,0,"bio12"
"bio12","data.frame",208.505163574219,0.555386434079578,0,"bio12"
"bio12","data.frame",214.673386306763,0.616179148503188,0,"bio12"
"bio12","data.frame",224.82453666687,0.615548815845533,0,"bio12"
"bio12","data.frame",228.975847167969,0.614455767680048,0,"bio12"
"bio12","data.frame",232.524808959961,0.611977236321836,0,"bio12"
"bio12","data.frame",235.414496231079,0.615631751693449,0,"bio12"
"bio12","data.frame",239.146271362305,0.612886650049236,0,"bio12"
"bio12","data.frame",242.20137260437,0.610838659539776,0,"bio12"
"bio12","data.frame",244.201240641276,0.60452094086657,0,"bio12"
"bio12","data.frame",246.910421295166,0.594616455022465,0,"bio12"
"bio12","data.frame",249.601745986938,0.595458827830096,0,"bio12"
"bio12","data.frame",252.3738722229,0.590465275168368,0,"bio12"
"bio12","data.frame",256.013330078125,0.581128527763324,0,"bio12"
"bio12","data.frame",257.132794189453,0.581824035822764,0,"bio12"
"bio12","data.frame",263.223870747884,0.579241461597615,0,"bio12"
"bio12","data.frame",267.806993865967,0.574088955831977,0,"bio12"
"bio12","data.frame",275.058607635498,0.564877937422378,0,"bio12"
"bio12","data.frame",279.955135498047,0.557530885782231,0,"bio12"
"bio12","data.frame",283.728144897461,0.535238790669442,0,"bio12"
"bio12","data.frame",289.081107177734,0.48239053153972,0,"bio12"
"bio12","data.frame",298.708335876465,0.501433086076643,0,"bio12"
"bio12","data.frame",301.679435272217,0.501293317531287,0,"bio12"
"bio12","data.frame",305.096512298584,0.487492048988098,0,"bio12"
"bio12","data.frame",308.303605957031,0.440134379843584,0,"bio12"
"bio12","data.frame",322.95891418457,0.462043337730791,0,"bio12"
"bio12","data.frame",336.147332763672,0.447369686327257,0,"bio12"
"bio12","data.frame",377.809618225098,0.396046611642889,0,"bio12"
"bio12","data.frame",410.346806640625,0.171322529709055,0,"bio12"
"bio12","data.frame",427.425704345703,0.142846158854626,0,"bio12"
"bio12","data.frame",442.968272460938,0.122980530593286,0,"bio12"
"bio12","data.frame",480.256665039063,0.0403965469038938,0,"bio12"
"bio12","data.frame",489.101456298828,0.0348512090415436,0,"bio12"
"bio12","data.frame",502.508377685547,0.0289473163033352,0,"bio12"
"bio12","data.frame",539.922561035156,0.018690753970727,0,"bio12"
"bio12","data.frame",553.298940429687,0.0162009612370836,0,"bio12"
"bio12","data.frame",576.422644042969,0.0127817397179857,0,"bio12"
"bio12","data.frame",594.772175292969,0.0106842121676169,0,"bio12"
"bio12","data.frame",613.298908691406,0.00899605531737267,0,"bio12"
"bio12","data.frame",634.668264160156,0.00747446808604273,0,"bio12"
"bio12","data.frame",646.796916503906,0.00677559810979386,0,"bio12"
"bio12","data.frame",669.641345214844,0.00571756360016748,0,"bio12"
"bio12","data.frame",686.794309082031,0.00510257835013783,0,"bio12"
"bio12","data.frame",690.401496582031,0.00498954941854203,0,"bio12"
"bio12","data.frame",708.525751953125,0.00449453130580928,0,"bio12"
"bio12","data.frame",712.6528125,0.00439705920259674,0,"bio12"
"bio12","data.frame",718.893371582031,0.00425918315959407,0,"bio12"
"bio12","data.frame",743.942355957031,0.00380524925911326,0,"bio12"
"bio12","data.frame",766.695471191406,0.00347473335851417,0,"bio12"
"bio12","data.frame",797.581892089844,0.00318441752454608,0,"bio12"
"bio12","data.frame",816.084921875,0.00305891471436735,0,"bio12"
"bio12","data.frame",823.989318847656,0.00301387877133207,0,"bio12"
"bio12","data.frame",837.615517578125,0.00294636881956763,0,"bio12"
"bio12","data.frame",867.628408203125,0.00283400571292906,0,"bio12"
"bio12","data.frame",887.645573730469,0.00278017380074646,0,"bio12"
"bio12","data.frame",896.652043457031,0.00276018891177827,0,"bio12"
"bio12","data.frame",933.762609863281,0.00269874000418388,0,"bio12"
"bio12","data.frame",956.991965332031,0.00267298803308049,0,"bio12"
"bio12","data.frame",986.676560058594,0.00264966475751772,0,"bio12"
"bio12","data.frame",1050.94518066406,0.00262174807123479,0,"bio12"
"bio12","data.frame",1071.52441894531,0.00261675587824188,0,"bio12"
"bio12","data.frame",1084.28601074219,0.00261427256285403,0,"bio12"
"bio12","data.frame",1116.52393066406,0.00260957261946545,0,"bio12"
"bio12","data.frame",1137.47981933594,0.00260742622375177,0,"bio12"
"bio12","data.frame",1160.81932128906,0.00260563686329476,0,"bio12"
"bio12","data.frame",1211.07068847656,0.00260322504544032,0,"bio12"
"bio12","data.frame",1223.72331542969,0.0026028297435426,0,"bio12"
"bio12","data.frame",1241.22797851562,0.00260238049760145,0,"bio12"
"bio12","data.frame",1273.39705566406,0.0026017812796186,0,"bio12"
"bio12","data.frame",1294.90964355469,0.00260150060515633,0,"bio12"
"bio12","data.frame",1336.71248046875,0.00260113718565014,0,"bio12"
"bio12","data.frame",1361.58337402344,0.00260099865792185,0,"bio12"
"bio12","data.frame",1400.82603515625,0.00260085414857344,0,"bio12"
"bio12","data.frame",1411.84984863281,0.00260082524645365,0,"bio12"
"bio12","data.frame",1445.11603515625,0.00260075954984725,0,"bio12"
"bio12","data.frame",1472.38847167969,0.00260072342958516,0,"bio12"
"bio12","data.frame",1497.63137207031,0.00260069975431004,0,"bio12"
"bio12","data.frame",1539.30672363281,0.00260067435090096,0,"bio12"
