trace,Identifier,Species,LAT,LONG,location,Site Description,Collector,year,month,GPS,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.602681,-29.090078,Bartlett Bluff 1,,BaB1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.619761,-29.087664,Bartlett Bluff 3,,BaB3,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes1984,Leporillus apicalis,124.634722,-32.497222,Unnamed,"Sinkhole on northern side of track across Hampton Tableland at M.R. 552033 Price 1:100,000 sheet. Vertical solution pipe about 7 m to small round chamber.","Hart, Baynes 1984",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.639333,-29.131335,Bartlett South 4,,BaS4,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.740483,-29.333475,Sydney Simpson Cliffs 1,,SSC1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Kendrick1966,Leporillus apicalis,124.792778,-32.569167,Twin Level Cave,,"Baynes, Hart 1984",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,124.976,-25.043,Young Range,,143/1,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,124.983,-25.033000,Young Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,125.654977,-26.834645,Manunda Breakaway 1,,MN1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,125.855984,-26.598354,Breakaway NW of Gahnda,,145/3,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,125.8625,-26.595833,Breakaway NW of Gahnda,,145/2,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,13235,Leporillus apicalis,125.866665,-26.600004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,125.867,-26.600000,Breakaways near Gahnda Rockhole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12678,Leporillus apicalis,125.883326,-32.216670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Cook1961,Leporillus apicalis,125.883333,-32.216667,Telegraph Cave,,Carlisle 1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12738,Leporillus apicalis,125.916666,-31.966670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Thomas1971,Leporillus apicalis,125.916667,-31.966667,Cocklebiddy Cave,,"Lowry 1965, 1966",1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,125.933,-25.767000,Mount Samuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,13233,Leporillus apicalis,125.933331,-25.766668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,126.029,-26.515,Winduldurra Rockhole,Cave nearby,146/1,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,126.033,-26.517000,Breakaways near Winduldurra Rockhole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,13234,Leporillus apicalis,126.033327,-26.516675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12788,Leporillus apicalis,126.033327,-32.050003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12713,Leporillus apicalis,126.033329,-32.066675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Hart1984,Leporillus apicalis,126.033333,-32.066667,Murra-el-elevyn Cave,,"Lundelius, Kendrick 1954-55; Partridge 1964; Lowry 1966; Bridge 1967; Baynes et al. 1967",1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,126.155233,-27.621919,Point Sandercock 2,,PSc2,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes1984,Leporillus apicalis,126.183333,-32.1,Tommy Grahams Cave,"Granite rock 8 km N. of Mount Andrew, Large crescentic open cave on northern flank of rock.","Kendrick, Hitchin 1966; Carlisle 1966, 1967",1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12715,Leporillus apicalis,126.183333,-32.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,126.362217,-27.06015,Faulkner Hill 2,,FH2,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,126.374272,-27.060558,Faulkner Hill 1.1,,FH1.1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,126.432,-27.159,Hanns Tabletop Hill,Breakaways east,152,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,126.44278,-27.235,Ryans Bluff 2,,RB2,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,13236,Leporillus apicalis,126.449998,-26.700006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,126.45,-26.700000,Manton Knob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,126.451388,-26.695833,Manton Knob breakaways,,149/1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,126.454166,-26.693055,Manton Knob breakaways,,149/2,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,13237,Leporillus apicalis,126.466665,-27.200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,126.467,-27.200000,Point Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,126.468055,-27.215277,Breakaways S of Point Wood,,153/2,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12725,Leporillus apicalis,126.733326,-31.850008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lundelius1954,Leporillus apicalis,126.733333,-31.850001,Dingo Cave,,"Hyslop, Petchell 1967; Lowry 1968; Thomas et al. 1972",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12723,Leporillus apicalis,127.016661,-31.583339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Hyslop1967,Leporillus apicalis,127.016667,-31.75,Firestick Cave,,Cawthorn 1961; Cook 1962; Lowry 1966,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12727,Leporillus apicalis,127.033325,-31.966673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12785,Leporillus apicalis,127.033329,-31.983341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes1984,Leporillus apicalis,127.033333,-31.966667,Madura Six Mile South Cave,,Cook 1961; Lowry 1966,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12747,Leporillus apicalis,127.183330,-31.433337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Archer1969,Leporillus apicalis,127.233333,-31.566667,Roaches Rest Cave,,Lowry 1966; Lance 1976,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12695,Leporillus apicalis,127.433326,-31.650001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12721,Leporillus apicalis,127.433326,-31.650001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1965,Leporillus apicalis,127.433333,-31.666667,Abrakurrie Cave,,Lowry 1966; Bywater 1969; Jones 1976,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1966,Leporillus apicalis,127.433333,-31.65,Horseshoe Cave,,Archer et al. 1969 to 1970,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12718,Leporillus apicalis,127.716661,-31.833335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12750,Leporillus apicalis,127.716661,-31.683341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Carlisle1966,Leporillus apicalis,127.716667,-31.833333,Witches Cave,,Lance 1976,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Cawthorn1961,Leporillus apicalis,127.716667,-31.683333,Thylacine Hole,,Lowry 1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12768,Leporillus apicalis,127.799994,-31.775005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12716,Leporillus apicalis,127.799996,-31.766670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12781,Leporillus apicalis,127.799996,-31.766670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lance1976,Leporillus apicalis,127.8,-31.766667,Webbs Cave,,Cook 1962; Baynes et al. 1967; Thomas et al. 1972,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12743,Leporillus apicalis,128.483324,-31.666673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12755,Leporillus apicalis,128.483329,-31.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12753,Leporillus apicalis,128.483332,-31.716674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12783,Leporillus apicalis,128.483332,-31.650001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Cook1962,Leporillus apicalis,128.483333,-31.716667,Kutowalla Doline,,Lowry 1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1966,Leporillus apicalis,128.483333,-31.7,Winbirra Cave,,Lowry 1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1966,Leporillus apicalis,128.75,-31.666667,Weebubbie Cave,,Lowry 1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1966,Leporillus apicalis,129.033333,-31.683333,Unnamed,Overhang in cliffs 1.2 miles E. of Wilsons Bluff cairn.,Lowry 1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1966,Leporillus apicalis,129.1,-31.533333,Warbla Cave,,Lowry 1968; Bywater 1969,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12644,Leporillus apicalis,129.916660,-31.500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,105480,Leporillus apicalis,129.932924,-26.893581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12700,Leporillus apicalis,130.666663,-26.616673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,130.830000,-23.800000, Pinnacles Station,,,1986,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,131.030000,-25.350000,,,,1983,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,131.310000,-23.830000,,,,1986,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12674,Leporillus apicalis,132.166661,-30.866670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,133.410000,-24.030000,,,,1990,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,133.860000,-25.960000,,,,1986,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,133.890000,-23.640000,,,,1987,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,133.900000,-25.980000,,,,1986,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,133.970000,-23.740000,,,,1987,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,134.330000,-23.660000, Edel Land,,,1987,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,134.430000,-23.630000,,,,1987,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,134.730000,-23.440000,,,,1987,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,134.800000,-23.700000,,,,1986,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,134.880000,-22.350000,,,,1987,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,135.010000,-23.560000,,,,1989,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,135.080000,-22.780000,,,,1987,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,135.750000,-24.560000,,,,1985,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12684,Leporillus apicalis,136.166660,-33.433340, Dirk Hartog I.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Medlin1984,Leporillus apicalis,136.166667,-33.433333,Darke Peak,,Medlin et al. 1984,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,137.160000,-23.850000,,,,1985,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,137.180000,-23.830000,,,,1985,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,NPC NT 2002,Leporillus apicalis,137.320000,-22.000000,,,,1996,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12661,Leporillus apicalis,138.366661,-30.583334, Lyons R. Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12659,Leporillus apicalis,139.283329,-30.966670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12688,Leporillus apicalis,142.166664,-34.183342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12575,Leporillus apicalis,142.183326,-34.166670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes & Jones (1993),Leporillus apicalis,,,Cape Range,Cave C-402,C–402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,112.95,-25.75,West Coast Well,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,113.1,-25.967,Herald Heights,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,113.3,-26.4,False Entrance Well,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,113.433,-24.117,Coastal cliffs,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,113.583,-25.633,Guichenault Point,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,113.683,-26.6,Baba Head,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,113.8,-23.117,Cardabia Homestead,Limestone ridge SE,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,114.1,-27.833,Bluff Point,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,114.283,-25.983,Yaringa Homestead,nearby bluffs,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,115.617,-28.117,Tallering Hill,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus conditor,117.183,-28.133,Narrying Range,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,112.95,-25.750000,West Coast Well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,113.1,-25.967000,Herald Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,113.3,-26.400000,False Entrance Well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,113.433,-24.117000,Coastal cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,113.583,-25.633000,Guichenault Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,113.683,-26.600000,Baba Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,113.8,-23.117000,Limestone ridge SE of Cardabia Hstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,114.1,-27.833000,Bluff Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,114.283,-25.983000,Bluffs near Yaringa Homestead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,115.617,-28.117000,Tallering Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,117.183,-28.133000,Narring Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,117.7,-26.917000,Wilgie Mia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,118.317,-29.017000,Breakaway on Narndee Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,119.367,-29.367000,Breakaway on Diemals Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,120.3,-28.117000,White Cloud Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,121.317,-30.900000,W. end Red Lake near Kalgoorlie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus conditor,121.633,-29.517000,Old tree on Yerilla Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes1984,Leporillus conditor,123.398889,-32.467778,Unnamed,Very small breakaway on north shore of salt lake S. of old Telegraph line in Dundas Nature Reserve.,"Baynes, Hart 1984",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Thomas1971,Leporillus conditor,123.839444,-32.478333,Unnamed,Sinkhole 3.3 km SW of Balladonia Station homestead. Small figure-of-eight shaped entrance. Vertical solution pipe about 7 m to small circular chamber with small southern extension.,"Thomas et al. 1971; Baynes, Hart 1984",1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Hart1984,Leporillus conditor,124.634722,-32.497222,Unnamed,"Sinkhole on northern side of track across Hampton Tableland at M.R. 552033 Price 1:100,000 sheet. Vertical solution pipe about 7 m to small round chamber.","Hart, Baynes 1984",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Marshall1968,Leporillus conditor,125.333333,-31.066667,Unnamed,"Cave ""5 miles S. of Rawlinna"".",Marshall 1968,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12787,Leporillus conditor,125.866657,-31.983337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12679,Leporillus conditor,125.883326,-32.216670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Carlisle1966,Leporillus conditor,125.883333,-32.216667,Telegraph Cave,,Carlisle 1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1965,Leporillus conditor,125.916667,-31.966667,Cocklebiddy Cave,,"Lowry 1965, 1966",1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12789,Leporillus conditor,126.033327,-32.050003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12714,Leporillus conditor,126.033329,-32.066675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lundelius1954,Leporillus conditor,126.033333,-32.066667,Murra-el-elevyn Cave,,"Lundelius, Kendrick 1954-55; Partridge 1964; Lowry 1966; Bridge 1967; Baynes et al. 1967",1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1965,Leporillus conditor,126.183333,-32.033333,Pannikin Plain Cave,,Zeck 1960; Lowry 1965; Cook,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1966,Leporillus conditor,126.5,-31.983333,Moonera Tank Cave,,Lowry 1965,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Hyslop1967,Leporillus conditor,126.733333,-31.850001,Dingo Cave,,"Hyslop, Petchell 1967; Lowry 1968; Thomas et al. 1972",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Butler1967,Leporillus conditor,126.8,-31.033333,Unnamed,"Cave ""15 miles S. of W. of Loongana"".",Butler 1967,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Cawthorn1961,Leporillus conditor,127.016667,-31.75,Firestick Cave,,Cawthorn 1961; Cook 1962; Lowry 1966,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,12728,Leporillus conditor,127.033325,-31.966673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Cook1961,Leporillus conditor,127.033333,-31.966667,Madura Six Mile South Cave,,Cook 1961; Lowry 1966,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
