trace,Identifier,Species,LAT,LONG,location,Site Description,Collector,year,month,GPS,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.56638,-26.00364,Shark Bay,10 km blowout,10K,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.5772,-25.6406,Shark Bay,"Herald Bluff, Peron Peninsula",HB 1,,,Map,"Site called ""Guichenault Point"" in ""Baynes2002"", slightly different co-ordinates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,113.583,-25.633000,Guichenault Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.5847,-25.6431,Shark Bay,"Herald Bluff, Peron Peninsula",HB 2,,,Map,"Site called ""Guichenault Point"" in ""Baynes2002"", slightly different co-ordinates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.6583,-25.7556,Shark Bay,Cape Lesueur 3,CR 3,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.65933,-25.75506,Shark Bay,Cape Rose 2,CR 2,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,"Bowdler (1995), Baynes (2000)",Leporillus apicalis,113.667,-25.783,Shark Bay,"Monkey Mia, Peron Peninsula",MM,,,Map,"Archaeological excavation, probably has 14C dates, check Bowdler (1995)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.683,-26.6,Shark Bay,Baba Head,No/S/Nc,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.68575,-26.19272,Shark Bay,Goulet Bluff 3,GB 3,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.74819,-26.23372,Shark Bay,Goulet Bluff 7,GB 7,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.76692,-26.23905,Shark Bay,Goulet Bluff 8,GB 8,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,113.8,-23.117000,Limestone ridge SE of Cardabia Hstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,113.808,-23.1094,Cardabia Homestead,Breakaway 0.8 km SE,,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2007),Leporillus apicalis,113.8614,-26.3061,Shark Bay,Nanga 6,N6,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2007),Leporillus apicalis,113.8633,-26.3078,Shark Bay,Nanga 5,N5,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2007),Leporillus apicalis,113.8739,-26.325,Shark Bay,Nanga 8,N8,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2007),Leporillus apicalis,113.875,-26.3267,Shark Bay,Nanga 9,N9,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2007),Leporillus apicalis,113.8758,-26.3275,Shark Bay,Nanga 10,N10,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2007),Leporillus apicalis,113.8814,-26.3542,Shark Bay,Nanga 7,N7,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2007),Leporillus apicalis,113.8933,-26.0406,Shark Bay,Nanga 3,N3,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2007),Leporillus apicalis,113.9128,-25.9836,Shark Bay,Nanga 1,N1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes & Jones (1993),Leporillus apicalis,113.983,-22.2,Cape Range,"Two Hundred Cave, Cape Range",C-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
