"_vname_","_label_","_x_","_yhat_","_ids_","variable"
"bio12","data.frame",151.680423736572,0.716773958669062,0,"bio12"
"bio12","data.frame",173.930294952393,0.685945667589673,0,"bio12"
"bio12","data.frame",187.794771652222,0.693698255312063,0,"bio12"
"bio12","data.frame",193.646777801514,0.679472959289006,0,"bio12"
"bio12","data.frame",209.994619216919,0.702227426888411,0,"bio12"
"bio12","data.frame",218.030225658417,0.691698278085424,0,"bio12"
"bio12","data.frame",223.46934009552,0.731846709572958,0,"bio12"
"bio12","data.frame",225.52109916687,0.730595683801232,0,"bio12"
"bio12","data.frame",231.541812286377,0.674189426820041,0,"bio12"
"bio12","data.frame",235.47415851593,0.703264174536308,0,"bio12"
"bio12","data.frame",239.28534942627,0.698471400092829,0,"bio12"
"bio12","data.frame",242.274512067522,0.696207749961905,0,"bio12"
"bio12","data.frame",244.077067260742,0.66088365612958,0,"bio12"
"bio12","data.frame",247.572562561035,0.706181014409696,0,"bio12"
"bio12","data.frame",252.463727455139,0.70283141116984,0,"bio12"
"bio12","data.frame",259.68496761322,0.690576985336943,0,"bio12"
"bio12","data.frame",263.115179977417,0.690334525207927,0,"bio12"
"bio12","data.frame",267.805506958008,0.682101882292824,0,"bio12"
"bio12","data.frame",274.091375198364,0.675557944861705,0,"bio12"
"bio12","data.frame",288.730849700928,0.675426568207944,0,"bio12"
"bio12","data.frame",292.817340087891,0.608471924782233,0,"bio12"
"bio12","data.frame",298.504984722137,0.51634742231115,0,"bio12"
"bio12","data.frame",304.791925048828,0.492892042880139,0,"bio12"
"bio12","data.frame",315.717541503906,0.42919329125576,0,"bio12"
"bio12","data.frame",322.967723999023,0.42280661510015,0,"bio12"
"bio12","data.frame",344.139991760254,0.40022724513893,0,"bio12"
"bio12","data.frame",366.889147949219,0.337411654176595,0,"bio12"
"bio12","data.frame",383.739581604004,0.320663286539553,0,"bio12"
"bio12","data.frame",420.752967529297,0.287114517524434,0,"bio12"
"bio12","data.frame",440.943067016602,0.278216091002028,0,"bio12"
"bio12","data.frame",449.701635131836,0.263444291074468,0,"bio12"
"bio12","data.frame",479.551020202637,0.167543447314899,0,"bio12"
"bio12","data.frame",506.039886474609,0.146857834774106,0,"bio12"
"bio12","data.frame",542.8216015625,0.117160857590911,0,"bio12"
"bio12","data.frame",574.549968261719,0.0941988106344392,0,"bio12"
"bio12","data.frame",581.003317260742,0.0895805240279886,0,"bio12"
"bio12","data.frame",590.585483398438,0.0827398279193032,0,"bio12"
"bio12","data.frame",596.588703613281,0.0784721367099787,0,"bio12"
"bio12","data.frame",626.018353271484,0.0577946804384466,0,"bio12"
"bio12","data.frame",633.691693115234,0.0525762952228389,0,"bio12"
"bio12","data.frame",644.980603027344,0.0450865704207831,0,"bio12"
"bio12","data.frame",661.749628295899,0.0346494120992813,0,"bio12"
"bio12","data.frame",686.448449707031,0.0219105665914378,0,"bio12"
"bio12","data.frame",698.649449462891,0.0171411322980705,0,"bio12"
"bio12","data.frame",708.699321289062,0.013981699332074,0,"bio12"
"bio12","data.frame",714.35241394043,0.0124849684061558,0,"bio12"
"bio12","data.frame",732.27681640625,0.00886302054285681,0,"bio12"
"bio12","data.frame",751.375079956055,0.00641795961820179,0,"bio12"
"bio12","data.frame",763.619948730468,0.00536777114089187,0,"bio12"
"bio12","data.frame",801.900308227539,0.00354726767749487,0,"bio12"
