latitude,longitude,time_bp
-32.866667,121.15,300
-32.591667,122.917222,300
-32.467778,123.398889,300
-32.478333,123.839444,300
-33.43334,136.16666,300
-33.43334,136.16666,300
-33.433333,136.166667,300
-34.183342,142.166664,300
-34.183342,142.166664,300
-34.16667,142.183326,300
-34.16667,142.183326,300
-30.96667,139.283329,300
-30.96667,139.283329,300
-30.86667,132.166661,300
-30.86667,132.166661,300
-30.583334,138.366661,300
-30.583334,138.366661,300
-30.3606,119.7053,300
-30.3606,119.7053,300
-30.0853,115.0914,300
-30.0853,115.0914,300
-29.817,115.133,300
-29.817,115.133,300
-29.7717,117.3814,300
-29.7717,117.3814,300
-29.6817,118.2878,300
-29.6817,118.2878,300
-29.6147,118.1147,300
-29.6147,118.1147,300
-29.5775,117.2589,300
-29.5775,117.2589,300
-29.5661,117.3844,300
-29.5661,117.3844,300
-29.555665,124.592288,300
-29.555665,124.592288,300
-29.5133,121.6314,300
-29.5133,121.6314,300
-29.3761,119.3719,300
-29.3761,119.3719,300
-29.333475,124.740483,300
-29.333475,124.740483,300
-29.331603,124.578989,300
-29.331603,124.578989,300
-29.218396,124.52208,300
-29.218396,124.52208,300
-29.2,116.767,300
-29.2,116.767,300
-29.178021,124.481407,300
-29.178021,124.481407,300
-29.176756,124.479105,300
-29.176756,124.479105,300
-29.131335,124.639333,300
-29.131335,124.639333,300
-29.090078,124.602681,300
-29.090078,124.602681,300
-29.087849,124.602512,300
-29.087849,124.602512,300
-29.087664,124.619761,300
-29.087664,124.619761,300
-29.083,115.583,300
-29.083,115.583,300
-29.0583,117.3278,300
-29.0583,117.3278,300
-28.7344,116.9583,300
-28.7344,116.9583,300
-28.280593,122.706531,300
-28.280593,122.706531,300
-28.1333,117.1847,300
-28.1333,117.1847,300
-28.1261,120.3017,300
-28.1169,115.6197,300
-28.1169,115.6197,300
-28.0942,115.6589,300
-28.0942,115.6589,300
-27.621919,126.155233,300
-27.621919,126.155233,300
-27.367,116.433,300
-27.367,116.433,300
-27.235,126.44278,300
-27.235,126.44278,300
-27.215277,126.468055,300
-27.215277,126.468055,300
-27.159,126.432,300
-27.159,126.432,300
-27.060558,126.374272,300
-27.060558,126.374272,300
-27.06015,126.362217,300
-27.06015,126.362217,300
-26.917,117.7,300
-26.917,117.7,300
-26.904491,124.468431,300
-26.904491,124.468431,300
-26.89358142,129.9329243,300
-26.89358142,129.9329243,300
-26.834645,125.654977,300
-26.834645,125.654977,300
-26.76583,124.36652,300
-26.76583,124.36652,300
-26.70000585,126.4499984,300
-26.70000585,126.4499984,300
-26.695833,126.451388,300
-26.695833,126.451388,300
-26.693055,126.454166,300
-26.693055,126.454166,300
-26.61667286,130.6666632,300
-26.61667286,130.6666632,300
-26.60000359,125.8666652,300
-26.60000359,125.8666652,300
-26.6,113.683,300
-26.6,113.683,300
-26.598354,125.855984,300
-26.598354,125.855984,300
-26.595833,125.8625,300
-26.595833,125.8625,300
-26.51667509,126.033327,300
-26.51667509,126.033327,300
-26.515,126.029,300
-26.515,126.029,300
-26.413,121.054,300
-26.413,121.054,300
-26.4,113.3,300
-26.4,113.3,300
-26.3542,113.8814,300
-26.3542,113.8814,300
-26.333,118.35,300
-26.333,118.35,300
-26.3275,113.8758,300
-26.3275,113.8758,300
-26.3267,113.875,300
-26.3267,113.875,300
-26.325,113.8739,300
-26.325,113.8739,300
-26.3078,113.8633,300
-26.3078,113.8633,300
-26.3061,113.8614,300
-26.3061,113.8614,300
-26.23905,113.76692,300
-26.23905,113.76692,300
-26.23372,113.74819,300
-26.23372,113.74819,300
-26.2111,113.3731,300
-26.2111,113.3731,300
-26.19272,113.68575,300
-26.19272,113.68575,300
-26.0406,113.8933,300
-26.0406,113.8933,300
-26.00364,113.56638,300
-26.00364,113.56638,300
-25.9836,113.9128,300
-25.9836,113.9128,300
-25.983,114.283,300
-25.983,114.283,300
-25.98,133.9,300
-25.98,133.9,300
-25.96,133.86,300
-25.96,133.86,300
-25.783,113.667,300
-25.783,113.667,300
-25.76666838,125.9333311,300
-25.76666838,125.9333311,300
-25.7556,113.6583,300
-25.7556,113.6583,300
-25.75506,113.65933,300
-25.75506,113.65933,300
-25.72533,113.41336,300
-25.72533,113.41336,300
-25.6431,113.5847,300
-25.6431,113.5847,300
-25.6406,113.5772,300
-25.6406,113.5772,300
-25.426,124.429,300
-25.426,124.429,300
-25.3542,115.1439,300
-25.3542,115.1439,300
-25.35,131.03,300
-25.35,131.03,300
-25.35,131.03,300
-25.35,131.03,300
-25.35,131.03,300
-25.35,131.03,300
-25.35,131.03,300
-25.35,131.03,300
-25.071,117.765,300
-25.071,117.765,300
-25.043,124.976,300
-25.043,124.976,300
-24.7633,115.355,300
-24.7633,115.355,300
-24.56,135.75,300
-24.56,135.75,300
-24.1156,113.4331,300
-24.1156,113.4331,300
-24.033,119.6,300
-24.033,119.6,300
-24.03,133.41,300
-24.03,133.41,300
-23.85,137.16,300
-23.85,137.16,300
-23.83,131.31,300
-23.83,131.31,300
-23.83,137.18,300
-23.83,137.18,300
-23.8,130.83,300
-23.8,130.83,300
-23.74,133.97,300
-23.74,133.97,300
-23.7,134.8,300
-23.7,134.8,300
-23.66,134.33,300
-23.66,134.33,300
-23.64,133.89,300
-23.64,133.89,300
-23.63,134.43,300
-23.63,134.43,300
-23.56,135.01,300
-23.56,135.01,300
-23.55,117.617,300
-23.55,117.617,300
-23.44,134.73,300
-23.44,134.73,300
-23.1094,113.808,300
-23.1094,113.808,300
-22.78,135.08,300
-22.78,135.08,300
-22.35,134.88,300
-22.35,134.88,300
-22.217,114,300
-22.217,114,300
-22.2,113.983,300
-22.2,113.983,300
-22.183,113.983,300
-22.183,113.983,300
-22.133,114,300
-22.133,114,300
-22.017,114.033,300
-22.017,114.033,300
-22,137.25,300
-22,137.25,300
-22,137.25,300
-22,137.25,300
-22,137.32,300
-22,137.32,300
-21.9969,114.0958,300
-21.9969,114.0958,300
-28.1261,120.3017,300
-31.984819,127.0402,300
-31.984819,127.0402,300
