row_id,species_std,record_type,source_file,source_sheet,identifier,location,site_description,age_estimate,radiocarbon_lab,lat,lon,coord_status,unresolved_reason
47,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-27.885555555555555,134.31722222222223,ok,NA
48,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-27.885555555555555,134.31722222222223,ok,NA
49,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-27.885555555555555,134.31722222222223,ok,NA
50,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-28.419722222222223,122.97694444444444,ok,NA
51,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-28.419722222222223,122.97694444444444,ok,NA
52,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
53,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
54,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
55,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
56,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
57,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
58,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
59,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
60,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
61,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
62,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
63,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.066666666666666,142.56666666666666,ok,NA
64,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.328888888888887,123.26722222222222,ok,NA
65,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.328888888888887,123.26722222222222,ok,NA
66,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.328888888888887,123.26722222222222,ok,NA
67,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.328888888888887,123.26722222222222,ok,NA
68,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.328888888888887,123.26722222222222,ok,NA
69,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
70,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
71,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
72,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
73,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
74,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
75,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
76,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
77,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
78,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
79,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
80,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
81,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.333333333333332,139.33333333333334,ok,NA
82,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.5,119.66666666666667,ok,NA
83,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.866666666666667,142.6,ok,NA
84,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.866666666666667,142.6,ok,NA
85,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
86,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
87,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
88,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
89,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
90,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
91,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
92,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
93,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
94,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
95,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
96,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
97,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-30.966666666666665,139.33333333333334,ok,NA
98,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
99,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
100,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
101,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
102,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
103,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
104,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
105,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
106,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
107,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
108,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
109,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
110,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
111,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.066666666666666,142.56666666666666,ok,NA
112,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.166666666666668,142.6,ok,NA
113,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.166666666666668,142.6,ok,NA
114,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.166666666666668,142.6,ok,NA
115,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.166666666666668,142.6,ok,NA
116,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.166666666666668,142.6,ok,NA
117,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.166666666666668,142.6,ok,NA
118,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.166666666666668,142.6,ok,NA
119,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.166666666666668,142.6,ok,NA
120,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.166666666666668,142.6,ok,NA
121,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
122,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
123,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
