Identifier,Species,LONG,LAT
12764,Leporillus conditor,127.2,-31.7
12741,Leporillus conditor,127.2,-31.6
12696,Leporillus conditor,127.4,-31.7
12722,Leporillus conditor,127.4,-31.7
12719,Leporillus conditor,127.7,-31.8
12751,Leporillus conditor,127.7,-31.7
12769,Leporillus conditor,127.8,-31.8
12717,Leporillus conditor,127.8,-31.8
12782,Leporillus conditor,127.8,-31.8
12745,Leporillus conditor,127.9,-31.4
12761,Leporillus conditor,127.9,-31.2
12744,Leporillus conditor,128.5,-31.7
12746,Leporillus conditor,128.5,-31.3
12756,Leporillus conditor,128.5,-31.7
12754,Leporillus conditor,128.5,-31.7
12784,Leporillus conditor,128.5,-31.7
12752,Leporillus conditor,128.6,-31.4
13238,Leporillus conditor,128.7,-30.5
Baynes2002,Leporillus conditor,128.7,-30.5
12763,Leporillus conditor,128.7,-31.1
12760,Leporillus conditor,129,-31.7
12758,Leporillus conditor,129.1,-31.5
12677,Leporillus conditor,129.2,-29.8
12646,Leporillus conditor,129.8,-31.4
12645,Leporillus conditor,129.9,-31.5
12767,Leporillus conditor,131,-30.6
12689,Leporillus conditor,131.2,-30.3
12692,Leporillus conditor,131.2,-30.6
12693,Leporillus conditor,131.2,-30.6
12699,Leporillus conditor,131.2,-30.6
12766,Leporillus conditor,131.2,-30.6
12690,Leporillus conditor,131.7,-30.5
12691,Leporillus conditor,131.7,-30.5
12736,Leporillus conditor,131.7,-30.5
12873,Leporillus conditor,131.7,-30.5
12655,Leporillus conditor,133.6,-32.5
12662,Leporillus conditor,133.7,-32.5
12663,Leporillus conditor,133.7,-32.5
12999,Leporillus conditor,133.7,-32.5
12568,Leporillus conditor,134.2,-28
12733,Leporillus conditor,136.3,-34.5
12657,Leporillus conditor,137,-28.5
18472,Leporillus conditor,138.4,-30.3
12660,Leporillus conditor,138.4,-30.6
18497,Leporillus conditor,138.8,-29.4
114484,Leporillus conditor,138.9,-31.1
114192,Leporillus conditor,139.3,-30.2
12658,Leporillus conditor,139.3,-31
12572,Leporillus conditor,141.9,-34
12573,Leporillus conditor,141.9,-34
12574,Leporillus conditor,141.9,-34
12576,Leporillus conditor,142.3,-32.7
Cole2000,Leporillus midden,134.3,-23.6
Cole2000,Leporillus midden,134.4,-23.3
Cole2000,Leporillus midden,137.3,-22
Cole2000,Leporillus midden,137.3,-22
Pearson2002,Leporillus sp.,0,0
M0236,Leporillus sp.,119.7,-30.5
MO1,Leporillus sp.,119.7,-30.5
PTA121A,Leporillus sp.,123,-28.4
PTA234b,Leporillus sp.,123,-28.4
QVA312,Leporillus sp.,123.3,-30.3
QVA464,Leporillus sp.,123.3,-30.3
QVB107,Leporillus sp.,123.3,-30.3
QVB37,Leporillus sp.,123.3,-30.3
QVB37,Leporillus sp.,123.3,-30.3
M0505,Leporillus sp.,125,-25
M05170b,Leporillus sp.,125,-25
M06,Leporillus sp.,125,-25
M0652,Leporillus sp.,125,-25
M07,Leporillus sp.,125,-25
M07,Leporillus sp.,125,-25
12622,Leporillus sp.,125,-25.1
12623,Leporillus sp.,125.1,-25.2
