"Environmental variable","Mean drop-out loss_Leporillus apicalis","Mean drop-out loss_Leporillus conditor","SD_Leporillus apicalis","SD_Leporillus conditor"
"bio05",0.023,0.052,0.002,0.008
"bio06",0.05,0.049,0.005,0.007
"bio12",0.282,0.368,0.025,0.019
